input 18: successful attacks = 10, inputs = [['36'], ['40'], ['50'], ['52'], ['61'], ['63'], ['64'], ['66'], ['67'], ['73']], input deviations = [['19.97379652094538'], ['14.035425882598227'], ['6.3058454230848335'], ['19.96513360953957'], ['3.9500327027784268'], ['19.870582260281935'], ['15.924161326566514'], ['6.755631428636093'], ['19.826308133441746'], ['5.266790007896133']], output change = ['15.431984846216352', '17.006318293624133', '17.41418708111732', '12.003247377062053', '15.598595903304727', '18.91117652584356', '18.13030262711112', '21.84499026001484', '18.09060963832718', '16.050180464711786'], times = [0.0011725425720214844, 0.004370689392089844, 0.0064046382904052734, 0.0018701553344726562, 0.0049664974212646484, 0.0034999847412109375, 0.0042078495025634766, 0.0033915042877197266, 0.0029277801513671875, 0.0016870498657226562], max_time = 0.0064046382904052734
input 19: successful attacks = 4, inputs = [['36'], ['39'], ['45'], ['62']], input deviations = [['19.972937926240387'], ['19.972317786861634'], ['18.064450243743124'], ['19.972605329914025']], output change = ['15.431321486075348', '15.058239229493353', '27.58297654745155', '18.57996451940855'], times = [0.001163482666015625, 0.0011515617370605469, 0.0015437602996826172, 0.0013856887817382812], max_time = 0.0015437602996826172
input 20: successful attacks = 3, inputs = [['36'], ['62'], ['67']], input deviations = [['19.97316184481632'], ['8.00451421589888'], ['19.82699864810661']], output change = ['15.431494488141794', '11.131552790623914', '12.371692565199567'], times = [0.0011980533599853516, 0.0020542144775390625, 0.0050814151763916016], max_time = 0.0050814151763916016
input 21: successful attacks = 7, inputs = [['36'], ['52'], ['63'], ['66'], ['67'], ['72'], ['73']], input deviations = [['19.97542602641721'], ['19.96422916963977'], ['19.763746197937365'], ['7.281325150496394'], ['19.92766059334517'], ['11.408014178902324'], ['4.9879518636604985']], output change = ['15.433243820879682', '10.310506170346315', '10.813530825003', '12.52077462043627', '20.858846630807278', '13.255674641674574', '15.189084212381516'], times = [0.0011529922485351562, 0.0011837482452392578, 0.0013458728790283203, 0.005408763885498047, 0.003651857376098633, 0.006142854690551758, 0.004930019378662109], max_time = 0.006142854690551758
input 22: successful attacks = 8, inputs = [['36'], ['38'], ['39'], ['45'], ['52'], ['62'], ['67'], ['73']], input deviations = [['19.97280513031054'], ['13.6926645317738'], ['19.97218170501111'], ['18.179909183910056'], ['19.92433808337897'], ['19.98358622105162'], ['19.823155012100504'], ['9.492980864344231']], output change = ['15.431218886413149', '17.748012280753102', '15.058136629831068', '27.759273151878915', '11.416595621663788', '26.987885232473104', '14.154110462783905', '17.266103578378647'], times = [0.001188039779663086, 0.001985788345336914, 0.001149892807006836, 0.0015583038330078125, 0.0014002323150634766, 0.0017931461334228516, 0.0032622814178466797, 0.005080223083496094], max_time = 0.005080223083496094
input 23: successful attacks = 3, inputs = [['36'], ['39'], ['54']], input deviations = [['19.972544696168313'], ['11.92237686471762'], ['16.743836322422254']], output change = ['15.431017672000507', '11.397287897890777', '12.07466048416154'], times = [0.0012180805206298828, 0.003070831298828125, 0.005808830261230469], max_time = 0.005808830261230469
input 24: successful attacks = 3, inputs = [['36'], ['52'], ['73']], input deviations = [['19.97376336206641'], ['19.960706697722706'], ['19.46081297533386']], output change = ['15.431959227285262', '15.654522003835467', '11.631424877571277'], times = [0.0012097358703613281, 0.0035185813903808594, 0.0017626285552978516], max_time = 0.0035185813903808594
input 25: successful attacks = 1, inputs = [['36']], input deviations = [['19.97401474847352']], output change = ['15.432153451313837'], times = [0.0011649131774902344], max_time = 0.0011649131774902344
input 26: successful attacks = 9, inputs = [['36'], ['40'], ['52'], ['61'], ['63'], ['66'], ['67'], ['72'], ['73']], input deviations = [['19.974288696935517'], ['9.634725129411692'], ['19.962494594594077'], ['2.714506411434801'], ['19.750323718941534'], ['13.546356683897258'], ['19.926127801232738'], ['19.943322036769587'], ['3.6198334269072783']], output change = ['15.432365107045314', '14.513845538603277', '10.48066746553286', '10.186450540740168', '12.549597004881235', '17.06018755661347', '16.209220698102854', '10.128085361647692', '10.614086731359492'], times = [0.0011749267578125, 0.0048236846923828125, 0.0014190673828125, 0.001649618148803711, 0.0018553733825683594, 0.004341602325439453, 0.005479574203491211, 0.0014965534210205078, 0.0018854141235351562], max_time = 0.005479574203491211
input 27: successful attacks = 1, inputs = [['36']], input deviations = [['19.974404864824812']], output change = ['15.43245485969237'], times = [0.0011563301086425781], max_time = 0.0011563301086425781
