0,0,0,N,0.001676797866821289
1,0,0,N,0.0012099742889404297
2,0,0,N,0.0009911060333251953
3,0,0,N,0.0009529590606689453
4,0,0,N,0.0009660720825195312
5,0,0,N,0.0009129047393798828
6,0,0,N,0.00092315673828125
7,0,0,N,0.0009129047393798828
8,0,0,N,0.0009129047393798828
9,0,0,N,0.0009088516235351562
10,0,0,N,0.0009229183197021484
11,0,0,N,0.0009059906005859375
12,0,0,N,0.0009160041809082031
13,0,0,N,0.0009028911590576172
14,0,0,N,0.0009200572967529297
15,0,0,N,0.0009050369262695312
16,0,0,N,0.0009381771087646484
17,0,0,N,0.0009140968322753906
18,0,0,N,0.000926971435546875
19,0,0,N,0.0009050369262695312
20,0,0,N,0.0009069442749023438
21,0,0,N,0.0009100437164306641
22,0,0,N,0.0009088516235351562
23,0,0,N,0.0009031295776367188
24,0,0,N,0.0009050369262695312
25,0,0,N,0.0009028911590576172
26,0,0,N,0.0009140968322753906
27,0,0,N,0.0009109973907470703
28,0,0,N,0.0009038448333740234
29,0,0,N,0.0009171962738037109
30,0,0,N,0.0009131431579589844
31,0,0,N,0.0009047985076904297
32,0,0,N,0.000904083251953125
33,0,0,N,0.0009069442749023438
34,0,0,N,0.0009100437164306641
35,0,0,N,0.0009050369262695312
36,0,0,N,0.0009090900421142578
37,0,0,N,0.0012428760528564453
38,0,0,N,0.000978231430053711
39,0,0,N,0.0011661052703857422
40,-3.866137336374831,197.0,Y,0.0013301372528076172
41,0,0,N,0.0009729862213134766
42,0,0,N,0.0009729862213134766
43,0,0,N,0.001116037368774414
44,0,0,N,0.0011870861053466797
45,0,0,N,0.0011970996856689453
46,0,0,N,0.0011730194091796875
47,0,0,N,0.0011789798736572266
48,0,0,N,0.0011680126190185547
49,0,0,N,0.0011749267578125
50,-1.68663954098872,197.0,Y,0.0014338493347167969
51,0,0,N,0.001049041748046875
52,0,0,N,0.0010380744934082031
53,0,0,N,0.001157999038696289
54,0,0,N,0.0011680126190185547
55,0,0,N,0.0009598731994628906
56,0,0,N,0.0009551048278808594
57,0,0,N,0.0011620521545410156
58,0,0,N,0.0011708736419677734
59,0,0,N,0.0010402202606201172
60,0,0,N,0.0011749267578125
61,-1.8639962388097437,197.0,Y,0.0013930797576904297
62,0,0,N,0.0011799335479736328
63,-1.9927129434000648,197.0,Y,0.0013370513916015625
64,0,0,N,0.0011658668518066406
65,0,0,N,0.0013082027435302734
66,-1.880374013840951,197.0,Y,0.0012309551239013672
67,-4.0065677992429425,197.00000000000028,Y,0.0013780593872070312
68,0,0,N,0.0010609626770019531
69,0,0,N,0.0011889934539794922
70,0,0,N,0.0010509490966796875
71,0,0,N,0.0011720657348632812
72,-4.31900277674159,197.0,Y,0.0014650821685791016
73,-2.082292688907069,197.0,Y,0.0014050006866455078
